cluster	size	representative	genomes
cluster_000001	1	MAG10	MAG10
cluster_000002	1	MAG18	MAG18
cluster_000003	1	MAG23	MAG23
cluster_000004	1	MAG15	MAG15
cluster_000005	1	MAG39	MAG39
cluster_000006	1	MAG33	MAG33
cluster_000007	1	MAG36	MAG36
cluster_000008	1	MAG4	MAG4
cluster_000009	1	MAG31	MAG31
cluster_000010	1	MAG25	MAG25
cluster_000011	1	MAG21	MAG21
cluster_000012	1	MAG12	MAG12
cluster_000013	1	MAG29	MAG29
cluster_000014	1	MAG13	MAG13
cluster_000015	1	MAG27	MAG27
cluster_000016	1	MAG9	MAG9
cluster_000017	1	MAG5	MAG5
cluster_000018	1	MAG17	MAG17
cluster_000019	1	MAG40	MAG40
cluster_000020	1	MAG1	MAG1
cluster_000021	1	MAG20	MAG20
cluster_000022	1	MAG28	MAG28
cluster_000023	1	MAG2	MAG2
cluster_000024	1	MAG24	MAG24
cluster_000025	1	MAG6	MAG6
cluster_000026	1	MAG3	MAG3
cluster_000027	1	MAG26	MAG26
cluster_000028	1	MAG30	MAG30
cluster_000029	1	MAG7	MAG7
cluster_000030	1	MAG19	MAG19
cluster_000031	1	MAG16	MAG16
cluster_000032	1	MAG11	MAG11
cluster_000033	1	MAG14	MAG14
cluster_000034	1	MAG38	MAG38
cluster_000035	1	MAG37	MAG37
cluster_000036	1	MAG35	MAG35
cluster_000037	1	MAG34	MAG34
cluster_000038	1	MAG32	MAG32
cluster_000039	1	MAG8	MAG8
cluster_000040	1	MAG22	MAG22
